Pos,Logo,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Juventus_FC_2017_icon_%28black%29.svg/1200px-Juventus_FC_2017_icon_%28black%29.svg.png,Juventus,38,29,4,5,77,27,+50,91
2,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/AS_Roma_logo_%282017%29.svg/1200px-AS_Roma_logo_%282017%29.svg.png,Roma,38,28,3,7,90,38,+52,87
3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/SSC_Neapel.svg/1200px-SSC_Neapel.svg.png,Napoli,38,26,8,4,94,39,+55,86
4,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/1200px-AtalantaBC.svg.png,Atalanta,38,21,9,8,62,41,+21,72
5,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/S.S._Lazio_badge.svg/1200px-S.S._Lazio_badge.svg.png,Lazio,38,21,7,10,74,51,+23,70
6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/1200px-Logo_of_AC_Milan.svg.png,Milan,38,18,9,11,57,45,+12,63
7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/1200px-FC_Internazionale_Milano_2021.svg.png,Inter,38,19,5,14,72,49,+23,62
8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/2022_ACF_Fiorentina_logo.svg/1200px-2022_ACF_Fiorentina_logo.svg.png,Fiorentina,38,16,12,10,63,57,+6,60
9,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Torino_FC_Logo.svg/1200px-Torino_FC_Logo.svg.png,Torino,38,13,14,11,71,66,+5,53
10,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/U.C._Sampdoria_logo.svg/1200px-U.C._Sampdoria_logo.svg.png,Sampdoria,38,12,12,14,49,55,-6,48
11,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Cagliari_Calcio_1920.svg/1200px-Cagliari_Calcio_1920.svg.png,Cagliari,38,14,5,19,55,76,-21,47
12,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/US_Sassuolo_Calcio_logo.svg/1200px-US_Sassuolo_Calcio_logo.svg.png,Sassuolo,38,13,7,18,58,63,-5,46
13,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Udinese_Calcio_logo.svg/1200px-Udinese_Calcio_logo.svg.png,Udinese,38,12,9,17,47,56,-9,45
14,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/A.C._ChievoVerona_logo.svg/1200px-A.C._ChievoVerona_logo.svg.png,Chievo,38,12,7,19,43,61,-18,43
15,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bologna_F.C._1909_logo.svg/1200px-Bologna_F.C._1909_logo.svg.png,Bologna,38,11,8,19,40,58,-18,41
16,https://upload.wikimedia.org/wikipedia/en/2/25/Genoa_C.F.C._logo.png,Genoa,38,9,9,20,38,64,-26,36
17,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/FC_Crotone_logo.svg/1200px-FC_Crotone_logo.svg.png,Crotone,38,9,7,22,34,58,-24,34
18,https://upload.wikimedia.org/wikipedia/en/e/e9/Empoli_F.C._logo_%282021%29.png,Empoli,38,8,8,22,29,61,-32,32
19,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Palermo_Calcio_logo_%282019%29.svg/1200px-Palermo_Calcio_logo_%282019%29.svg.png,Palermo,38,6,8,24,33,77,-44,26
20,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Delfino_Pescara_logo.svg/1200px-Delfino_Pescara_logo.svg.png,Pescara,38,3,9,26,37,81,-44,18
