Pos,Logo,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/FC_Barcelona_%28crest%29.svg/1200px-FC_Barcelona_%28crest%29.svg.png,Barcelona,38,29,4,5,112,29,+83,91
2,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Real_Madrid_CF.svg/1200px-Real_Madrid_CF.svg.png,Real Madrid,38,28,6,4,110,34,+76,90
3,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/1200px-Atletico_Madrid_2017_logo.svg.png,Atlético Madrid,38,28,4,6,63,18,+45,88
4,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Villarreal_CF_logo-en.svg/1200px-Villarreal_CF_logo-en.svg.png,Villarreal,38,18,10,10,44,35,+9,64
5,https://upload.wikimedia.org/wikipedia/en/thumb/9/98/Club_Athletic_Bilbao_logo.svg/1200px-Club_Athletic_Bilbao_logo.svg.png,Athletic ,38,18,8,12,58,45,+13,62
6,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/RC_Celta_de_Vigo_logo.svg/1200px-RC_Celta_de_Vigo_logo.svg.png,Celta Vigo,38,17,9,12,51,59,-8,60
7,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Sevilla_FC_logo.svg/1200px-Sevilla_FC_logo.svg.png,Sevilla,38,14,10,14,51,50,+1,52
8,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/M%C3%A1laga_CF.svg/1200px-M%C3%A1laga_CF.svg.png,Malaga,38,12,12,14,38,35,+3,48
9,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Real_Sociedad_logo.svg/1200px-Real_Sociedad_logo.svg.png,Real Sociedad,38,13,9,16,45,48,-3,48
10,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Real_betis_logo.svg/1200px-Real_betis_logo.svg.png,Real Betis,38,11,12,15,34,52,-18,45
11,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/UD_Las_Palmas_logo.svg/278px-UD_Las_Palmas_logo.svg.png,Las Palmas,38,12,8,18,45,53,-8,44
12,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Valenciacf.svg/1200px-Valenciacf.svg.png,Valencia,38,11,11,16,46,48,-2,44
13,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Rcd_espanyol_logo.svg/1200px-Rcd_espanyol_logo.svg.png,Espanyol,38,12,7,19,40,74,-34,43
14,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/SD_Eibar_logo_2016.svg/1200px-SD_Eibar_logo_2016.svg.png,Eibar,38,11,10,17,49,61,-12,43
15,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/RC_Deportivo_La_Coru%C3%B1a_logo.svg/1200px-RC_Deportivo_La_Coru%C3%B1a_logo.svg.png,Deportivo,38,8,18,12,45,61,-16,42
16,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Logo_of_Granada_Club_de_F%C3%BAtbol.svg/1200px-Logo_of_Granada_Club_de_F%C3%BAtbol.svg.png,Granada,38,10,9,19,46,69,-23,39
17,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Real_Sporting_de_Gijon.svg/280px-Real_Sporting_de_Gijon.svg.png,Sporting,38,10,9,19,40,62,-22,39
18,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Rayo_Vallecano_logo.svg/1200px-Rayo_Vallecano_logo.svg.png,Rayo Vallecano,38,9,11,18,52,73,-21,38
19,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Getafe_logo.svg/1200px-Getafe_logo.svg.png,Getafe,38,9,9,20,37,67,-30,36
20,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Levante_Uni%C3%B3n_Deportiva%2C_S.A.D._logo.svg/1200px-Levante_Uni%C3%B3n_Deportiva%2C_S.A.D._logo.svg.png,Levante,38,8,8,22,37,70,-33,32
