Pos,Logo,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Juventus_FC_2017_icon_%28black%29.svg/1200px-Juventus_FC_2017_icon_%28black%29.svg.png,Juventus,38,33,3,2,80,23,+57,102
2,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/AS_Roma_logo_%282017%29.svg/1200px-AS_Roma_logo_%282017%29.svg.png,Roma,38,26,7,5,72,25,+47,85
3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/SSC_Neapel.svg/1200px-SSC_Neapel.svg.png,Napoli,38,23,9,6,77,39,+38,78
4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/2022_ACF_Fiorentina_logo.svg/1200px-2022_ACF_Fiorentina_logo.svg.png,Fiorentina,38,19,8,11,65,44,+21,65
5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/1200px-FC_Internazionale_Milano_2021.svg.png,Inter,38,15,15,8,62,39,+23,60
6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Logo_Parma_Calcio_1913_%28adozione_2016%29.svg/1200px-Logo_Parma_Calcio_1913_%28adozione_2016%29.svg.png,Parma,38,15,13,10,58,46,+12,58
7,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Torino_FC_Logo.svg/1200px-Torino_FC_Logo.svg.png,Torino,38,15,12,11,58,48,+10,57
8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/1200px-Logo_of_AC_Milan.svg.png,Milan,38,16,9,13,57,49,+8,57
9,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/S.S._Lazio_badge.svg/1200px-S.S._Lazio_badge.svg.png,Lazio,38,15,11,12,54,54,0,56
10,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Hellas_Verona_FC_logo_%282020%29.svg/1200px-Hellas_Verona_FC_logo_%282020%29.svg.png,Verona,38,16,6,16,62,68,-6,54
11,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/1200px-AtalantaBC.svg.png,Atalanta,38,15,5,18,43,51,-8,50
12,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/U.C._Sampdoria_logo.svg/1200px-U.C._Sampdoria_logo.svg.png,Sampdoria,38,12,9,17,48,62,-14,45
13,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Udinese_Calcio_logo.svg/1200px-Udinese_Calcio_logo.svg.png,Udinese,38,12,8,18,46,57,-11,44
14,https://upload.wikimedia.org/wikipedia/en/2/25/Genoa_C.F.C._logo.png,Genoa,38,11,11,16,41,50,-9,44
15,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Cagliari_Calcio_1920.svg/1200px-Cagliari_Calcio_1920.svg.png,Cagliari,38,9,12,17,34,53,-19,39
16,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/A.C._ChievoVerona_logo.svg/1200px-A.C._ChievoVerona_logo.svg.png,Chievo,38,10,6,22,34,54,-20,36
17,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/US_Sassuolo_Calcio_logo.svg/1200px-US_Sassuolo_Calcio_logo.svg.png,Sassuolo,38,9,7,22,43,72,-29,34
18,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Logo_CATANIA_FC.svg/1200px-Logo_CATANIA_FC.svg.png,Catania,38,8,8,22,34,66,-32,32
19,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bologna_F.C._1909_logo.svg/1200px-Bologna_F.C._1909_logo.svg.png,Bologna,38,5,14,19,28,58,-30,29
20,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/US_Livorno_Calcio.png/1200px-US_Livorno_Calcio.png,Livorno,38,6,7,25,39,77,-38,25
