Pos,Logo,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Juventus_FC_2017_icon_%28black%29.svg/1200px-Juventus_FC_2017_icon_%28black%29.svg.png,Juventus,38,26,9,3,72,24,+48,87
2,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/AS_Roma_logo_%282017%29.svg/1200px-AS_Roma_logo_%282017%29.svg.png,Roma,38,19,13,6,54,31,+23,70
3,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/S.S._Lazio_badge.svg/1200px-S.S._Lazio_badge.svg.png,Lazio,38,21,6,11,71,38,+33,69
4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/2022_ACF_Fiorentina_logo.svg/1200px-2022_ACF_Fiorentina_logo.svg.png,Fiorentina,38,18,10,10,61,46,+15,64
5,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/SSC_Neapel.svg/1200px-SSC_Neapel.svg.png,Napoli,38,18,9,11,70,54,+16,63
6,https://upload.wikimedia.org/wikipedia/en/2/25/Genoa_C.F.C._logo.png,Genoa,38,16,11,11,62,47,+15,59
7,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/U.C._Sampdoria_logo.svg/1200px-U.C._Sampdoria_logo.svg.png,Sampdoria,38,13,17,8,48,42,+6,56
8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/1200px-FC_Internazionale_Milano_2021.svg.png,Inter,38,14,13,11,59,48,+11,55
9,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Torino_FC_Logo.svg/1200px-Torino_FC_Logo.svg.png,Torino,38,14,12,12,48,45,+3,54
10,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/1200px-Logo_of_AC_Milan.svg.png,Milan,38,13,13,12,56,50,+6,52
11,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Palermo_Calcio_logo_%282019%29.svg/1200px-Palermo_Calcio_logo_%282019%29.svg.png,Palermo,38,12,13,13,53,55,-2,49
12,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/US_Sassuolo_Calcio_logo.svg/1200px-US_Sassuolo_Calcio_logo.svg.png,Sassuolo,38,12,13,13,49,57,-8,49
13,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Hellas_Verona_FC_logo_%282020%29.svg/1200px-Hellas_Verona_FC_logo_%282020%29.svg.png,Verona,38,11,13,14,49,65,-16,46
14,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/A.C._ChievoVerona_logo.svg/1200px-A.C._ChievoVerona_logo.svg.png,Chievo,38,10,13,15,28,41,-13,43
15,https://upload.wikimedia.org/wikipedia/en/e/e9/Empoli_F.C._logo_%282021%29.png,Empoli,38,8,18,12,46,52,-6,42
16,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Udinese_Calcio_logo.svg/1200px-Udinese_Calcio_logo.svg.png,Udinese,38,10,11,17,43,56,-13,41
17,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/1200px-AtalantaBC.svg.png,Atalanta,38,7,16,15,38,57,-19,37
18,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Cagliari_Calcio_1920.svg/1200px-Cagliari_Calcio_1920.svg.png,Cagliari,38,8,10,20,48,68,-20,34
19,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/AC_Cesena.svg/1200px-AC_Cesena.svg.png,Cesena,38,4,12,22,36,73,-37,24
20,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Logo_Parma_Calcio_1913_%28adozione_2016%29.svg/1200px-Logo_Parma_Calcio_1913_%28adozione_2016%29.svg.png,Parma,38,6,8,24,33,75,-42,19
